Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Colorado Avalanche,20202021,42,29,9,--,4,62,0.738,26,29,0,150,97,3.57,2.31,23.4,83.7,22.2,84.4,35,25.4,52.2
Toronto Maple Leafs,20202021,42,28,11,--,3,59,0.702,22,27,1,140,109,3.33,2.6,22.9,77.5,18.6,79.3,31,28.5,51.4
Vegas Golden Knights,20202021,41,28,11,--,2,58,0.707,22,28,0,132,92,3.22,2.24,17.7,85.2,16.9,88,32,27.6,49.9
Tampa Bay Lightning,20202021,41,28,11,--,2,58,0.707,24,27,1,140,100,3.41,2.44,24.8,82.4,23.3,83.8,30.6,28.4,50.4
Washington Capitals,20202021,42,27,11,--,4,58,0.69,22,25,2,144,124,3.43,2.95,25.5,82.8,20.9,84.4,28.2,29.5,48.6
New York Islanders,20202021,42,27,11,--,4,58,0.69,20,23,4,121,97,2.88,2.31,18.6,81.6,18.6,83.5,29.5,27.6,51.2
Carolina Hurricanes,20202021,41,27,10,--,4,58,0.707,19,23,4,129,100,3.15,2.44,28.2,83.3,27.4,85.6,32.3,28.3,54.3
Pittsburgh Penguins,20202021,42,27,13,--,2,56,0.667,20,24,3,143,118,3.4,2.81,23,76.8,20.5,80.8,29.6,29.6,49.4
Florida Panthers,20202021,42,26,12,--,4,56,0.667,19,25,1,132,113,3.14,2.69,22.1,79.7,20.6,81.3,34,30.5,50.2
Winnipeg Jets,20202021,42,25,14,--,3,53,0.631,19,25,0,136,111,3.24,2.64,25.6,80.4,24,81.3,29.7,31,49.4
Edmonton Oilers,20202021,42,25,15,--,2,52,0.619,23,25,0,134,120,3.19,2.86,26.7,79,25.2,80.7,29.7,31.1,49.9
Minnesota Wild,20202021,40,24,13,--,3,51,0.638,19,23,1,118,108,2.95,2.7,15.1,84,14.3,85.5,28.8,31,46.2
Boston Bruins,20202021,39,21,12,--,6,48,0.615,15,18,3,106,102,2.72,2.62,23.3,85.4,19.2,90.8,32.2,27.7,55.9
Nashville Predators,20202021,43,23,19,--,1,47,0.547,15,18,5,107,121,2.49,2.81,20.3,75,18.7,77.2,30.1,30.9,51.4
Chicago Blackhawks,20202021,43,20,18,--,5,45,0.523,13,18,2,120,133,2.79,3.09,24.6,73.3,20.9,75,29.5,33.3,46.9
Montréal Canadiens,20202021,39,18,12,--,9,45,0.577,16,17,1,121,107,3.1,2.74,20.6,76.7,18.7,83,32.9,28.2,49.1
Philadelphia Flyers,20202021,41,19,16,--,6,44,0.537,13,18,1,121,144,2.95,3.51,20,75,16.2,75,30,28.8,53.2
New York Rangers,20202021,41,19,16,--,6,44,0.537,16,18,1,132,110,3.22,2.68,19.4,84,16.7,88.8,29.4,29.2,44.8
St. Louis Blues,20202021,41,19,16,--,6,44,0.537,13,17,2,117,126,2.85,3.07,18.5,76.2,18.5,79.2,30,29.9,52.8
Arizona Coyotes,20202021,43,19,19,--,5,43,0.5,15,16,3,113,132,2.63,3.07,19.6,82.1,16.8,83.6,26.4,31.2,47.9
Dallas Stars,20202021,40,15,14,--,11,41,0.513,13,14,1,110,98,2.75,2.45,25.2,78.5,22.8,81,29.4,27.4,50.2
San Jose Sharks,20202021,41,18,19,--,4,40,0.488,12,13,5,108,135,2.63,3.29,17,80.6,13.6,82.8,30.3,31.8,48.4
Columbus Blue Jackets,20202021,44,15,20,--,9,39,0.443,11,13,2,110,142,2.5,3.23,14,77.8,12,82.4,29.2,31.8,46.4
Los Angeles Kings,20202021,41,16,19,--,6,38,0.463,14,15,1,111,120,2.71,2.93,20.9,84.3,18.7,86,29.8,31.3,51.5
Calgary Flames,20202021,41,17,21,--,3,37,0.451,15,16,1,107,123,2.61,3,20,80.3,17,81.8,29.8,29.4,50
Detroit Red Wings,20202021,44,15,23,--,6,36,0.409,13,14,1,98,139,2.23,3.16,12,76.2,9.6,76.2,27.6,31.3,49.9
Vancouver Canucks,20202021,37,16,18,--,3,35,0.473,11,13,3,97,119,2.62,3.22,19.8,78.6,17,81,30.1,33.8,52.4
New Jersey Devils,20202021,40,14,20,--,6,34,0.425,11,14,0,103,128,2.58,3.2,13.9,71.1,12.2,71.9,29.9,31.2,46.6
Anaheim Ducks,20202021,43,13,23,--,7,33,0.384,8,12,1,96,135,2.23,3.14,10.8,78,6.5,79.5,27,30.9,51.3
Ottawa Senators,20202021,43,14,25,--,4,32,0.372,10,12,2,114,160,2.65,3.72,15.8,76.3,12.8,79.4,31.2,32.6,48.1
Buffalo Sabres,20202021,41,10,25,--,6,26,0.317,7,7,3,95,142,2.32,3.46,21.6,77.6,19.6,80.4,27.8,32.6,50.6
